"Company Name","Symbol","ETP Type","Default: Leveraged/Inverse","Leveraged/Inverse: Factor","Leveraged/Inverse: Rebalance Frequency","Asset Class","Region Objective","Commodity: Price Basis","Net Assets (Millions)","Sponsor","Investment Philosophy"
"FIDELITY MSCI CONSUMER DISCRETIONARY INDEX ETF","FDIS","ETF",1,1,,"Equity",,,38.172254,"Fidelity Management & Research","Passive Index"
"FIDELITY MSCI CONSUMER STAPLES INDEX ETF","FSTA","ETF",1,1,,"Equity",,,32.0906,"Fidelity Management & Research","Passive Index"
"FIDELITY MSCI ENERGY INDEX ETF","FENY","ETF",1,1,,"Equity",,,30.171694,"Fidelity Management & Research","Passive Index"
"FIDELITY MSCI FINANCIALS INDEX ETF","FNCL","ETF",1,1,,"Equity",,,51.701701,"Fidelity Management & Research","Passive Index"
"FIDELITY MSCI HEALTH CARE INDEX ETF","FHLC","ETF",1,1,,"Equity",,,76.982336,"Fidelity Management & Research","Passive Index"
"FIDELITY MSCI INDUSTRIALS INDEX ETF","FIDU","ETF",1,1,,"Equity",,,51.140593,"Fidelity Management & Research","Passive Index"
"FIDELITY MSCI INFORMATION TECHNOLOGY INDEX ETF","FTEC","ETF",1,1,,"Equity",,,72.823321,"Fidelity Management & Research","Passive Index"
"FIDELITY MSCI MATERIALS INDEX ETF","FMAT","ETF",1,1,,"Equity",,,31.627745,"Fidelity Management & Research","Passive Index"
"FIDELITY MSCI TELECOMMUNICATION SERVICES INDEX ETF","FCOM","ETF",1,1,,"Equity",,,25.018489,"Fidelity Management & Research","Passive Index"
"FIDELITY MSCI UTILITIES INDEX ETF","FUTY","ETF",1,1,,"Equity",,,25.532149,"Fidelity Management & Research","Passive Index"
"FIDELITY NASDAQ COMPOSITE INDEX TRACK","ONEQ","ETF",1,1,,"Equity",,,322.655029,"Fidelity Management & Research","Passive Index"
"ISHARES 0-5 YEAR TIPS BOND ETF","STIP","ETF",1,1,,"Fixed Income",,,577.002326,"BlackRock, Inc. / iShares","Passive Index"
"ISHARES 1-3 YEAR INTERNATIONAL TREASURY BOND ETF","ISHG","ETF",1,1,,"Fixed Income",,,174.115775,"BlackRock, Inc. / iShares","Passive Index"
"ISHARES 1-3 YEAR TREASURY BOND ETF","SHY","ETF",1,1,,"Fixed Income",,,8163.548803,"BlackRock, Inc. / iShares","Passive Index"
"ISHARES 20+ YEAR TREASURY BOND ETF","TLT","ETF",1,1,,"Fixed Income",,,2772.549923,"BlackRock, Inc. / iShares","Passive Index"
"ISHARES 7-10 YEAR TREASURY BOND ETF","IEF","ETF",1,1,,"Fixed Income",,,4021.913754,"BlackRock, Inc. / iShares","Passive Index"
"ISHARES AGENCY BOND ETF","AGZ","ETF",1,1,,"Fixed Income",,,391.009373,"BlackRock, Inc. / iShares","Passive Index"
"ISHARES CALIFORNIA AMT-FREE BOND ETF","CMF","ETF",1,1,,"Fixed Income",,,241.289858,"BlackRock, Inc. / iShares","Passive Index"
"ISHARES CORE LONG-TERM U.S. BOND ETF","ILTB","ETF",1,1,,"Fixed Income",,,28.762255,"BlackRock, Inc. / iShares","Passive Index"
"ISHARES CORE MSCI EAFE ETF","IEFA","ETF",1,1,,"Equity",,,1392.236723,"BlackRock, Inc. / iShares","Passive Index"
"ISHARES CORE MSCI EMERGING MARKETS ETF","IEMG","ETF",1,1,,"Equity",,,3358.623339,"BlackRock, Inc. / iShares","Passive Index"
"ISHARES CORE MSCI TOTAL INTERNATIONAL STOCK ETF","IXUS","ETF",1,1,,"Equity",,,492.132279,"BlackRock, Inc. / iShares","Passive Index"
"ISHARES CORE S&P 500 ETF","IVV","ETF",1,1,,"Equity",,,50641.349851,"BlackRock, Inc. / iShares","Passive Index"
"ISHARES CORE S&P MID-CAP ETF","IJH","ETF",1,1,,"Equity",,,22745.787524,"BlackRock, Inc. / iShares","Passive Index"
"ISHARES CORE S&P SMALL-CAP ETF","IJR","ETF",1,1,,"Equity",,,13881.046963,"BlackRock, Inc. / iShares","Passive Index"
