Mu,Sigma,Skew,Shape,Shape(GIG),Realized
2006-03-13,0,0.00206568756497325,0,0,0,0.00176474626672807
2006-03-14,0,0.00206167159734496,0,0,0,0.0032498335982174
2006-03-15,0,0.00208210803452908,0,0,0,-0.00270746070356509
2006-03-16,0,0.00209154428979482,0,0,0,0.00432842553235435
2006-03-17,0,0.00213725841488432,0,0,0,-0.00229714309513707
2006-03-20,0,0.00213899780374694,0,0,0,-0.000405926532872414
2006-03-21,0,0.00212445502532829,0,0,0,-0.00257470160526463
2006-03-22,0,0.00213073767336194,0,0,0,0.00176235387578316
2006-03-23,0,0.00212568532641899,0,0,0,-0.000813008174863405
2006-03-24,0,0.00211288064783095,0,0,0,0.0017606830579453
2006-03-27,0,0.00210808362948025,0,0,0,0.000811578564767323
2006-03-28,0,0.0020954775455532,0,0,0,-0.00257226162271262
2006-03-29,0,0.00210231937628537,0,0,0,-0.00189959351558588
2006-03-30,0,0.0020993278739913,0,0,0,-0.00462837744286659
2006-03-31,0,0.00215321689355851,0,0,0,0.00340530193536726
2006-04-03,0,0.00217445366070541,0,0,0,-0.00108843548160475
2006-04-04,0,0.00216272431905554,0,0,0,0.00136035934459944
2006-04-05,0,0.00215323701051066,0,0,0,0.000679486334494328
2006-04-06,0,0.0021394800246435,0,0,0,-0.000815439023168274
2006-04-07,0,0.00212652700982351,0,0,0,-0.00326842181195097
2006-04-10,0,0.00214561240052263,0,0,0,-0.000955305429186204
2006-04-11,0,0.00213337508514269,0,0,0,0.0020459667506616
2006-04-12,0,0.00213171989490042,0,0,0,-0.000954263585466464
2006-04-13,0,0.00211964327293142,0,0,0,-0.00204792207556626
2006-04-17,0,0.00211824615271047,0,0,0,0.0016386730418203
2006-04-18,0,0.00213891986974665,0,0,0,-0.000682454131449184
2006-04-19,0,0.00212627638872641,0,0,0,0.000955305429186204
2006-04-20,0,0.00211515599172433,0,0,0,-0.00150160426822943
2006-04-21,0,0.00210834223694925,0,0,0,-0.000136621354130284
2006-04-24,0,0.00209463274537073,0,0,0,0.00368224077838519
2006-04-25,0,0.00212329593005511,0,0,0,-0.00327243269943089
2006-04-26,0,0.00214240324784972,0,0,0,-0.00177704919978972
2006-04-27,0,0.00213799412548484,0,0,0,0.00232319885836763
2006-04-28,0,0.00214052017350596,0,0,0,0.00231781411285059
2006-05-01,0,0.00214292466874757,0,0,0,-0.00395715874228397
2006-05-02,0,0.00217649913215925,0,0,0,0.000956610937316249
2006-05-03,0,0.00216481079456418,0,0,0,-0.000683200135886075
2006-05-04,0,0.00215189016181329,0,0,0,-0.000546896376770079
2006-05-05,0,0.00213859523377064,0,0,0,0.00191283020477329
2006-05-08,0,0.00213578065880961,0,0,0,0.000682267884827503
2006-05-09,0,0.00212317047687531,0,0,0,-0.000545777063623021
2006-05-10,0,0.00211017668679059,0,0,0,-0.00109244855873669
2006-05-11,0,0.0021001192873192,0,0,0,-0.00054667214700288
2006-05-12,0,0.00208737454275659,0,0,0,-0.00218968200259262
2006-05-15,0,0.00208892578229525,0,0,0,0.000547870168477793
2006-05-16,0,0.00207630505619034,0,0,0,0.00491737092495281
2006-05-17,0,0.00213834135654059,0,0,0,-0.00286552696590991
2006-05-18,0,0.00214946214444604,0,0,0,0.00422718294971869
2006-05-19,0,0.00218945684589197,0,0,0,-0.000136082193854747
2006-05-22,0,0.00217491989119437,0,0,0,0.000136082193854747
2006-05-23,0,0.00213129448885766,0,0,0,-0.00272516860302119
2006-05-24,0,0.00213818821963301,0,0,0,0.00013643495484672
2006-05-25,0,0.00212658008602779,0,0,0,0
2006-05-26,0,0.00211501882441659,0,0,0,0.00422027717800955
2006-05-30,0,0.0021479676858914,0,0,0,-0.00217598345072822
2006-05-31,0,0.00214795272263982,0,0,0,-0.00231718225401156
2006-06-01,0,0.00214950321648356,0,0,0,-0.000819112673784872
2006-06-02,0,0.00213942110381066,0,0,0,0.00775461337818495
2006-06-05,0,0.00227264709333608,0,0,0,-0.00325777402282856
2006-06-06,0,0.00228468368605707,0,0,0,0.00257994575855136
2006-06-07,0,0.00228734412580273,0,0,0,-0.00312394142000194
2006-06-08,0,0.00229713778379742,0,0,0,0.00339512786234231
2006-06-09,0,0.00231081841670482,0,0,0,0.00135483017607907
2006-06-12,0,0.00230202549649001,0,0,0,-0.00298305305954027
2006-06-13,0,0.00230958707865568,0,0,0,0.00284765261251163
2006-06-14,0,0.00231521587002187,0,0,0,-0.00379867503321574
2006-06-15,0,0.00233514961829468,0,0,0,-0.00163243132428637
2006-06-16,0,0.00232801138284797,0,0,0,-0.000680966999416555
