Mu,Sigma,Skew,Shape,Shape(GIG),Realized
2006-03-13,0,0.0061877152851543,0,0,0,0.00211260821883741
2006-03-14,0,0.00606640711471518,0,0,0,0.0103424754322692
2006-03-15,0,0.00639743163853513,0,0,0,0.00426072553816148
2006-03-16,0,0.0063265241228536,0,0,0,0.00177123515166677
2006-03-17,0,0.0061940072674605,0,0,0,0.0014698117153582
2006-03-20,0,0.0060622211522167,0,0,0,-0.00166135250838639
2006-03-21,0,0.00593815954997836,0,0,0,-0.0060331196596044
2006-03-22,0,0.00597269241927313,0,0,0,0.00600246972779761
2006-03-23,0,0.00600337621025938,0,0,0,-0.00258563620618713
2006-03-24,0,0.00589955148979484,0,0,0,0.000982868981305174
2006-03-27,0,0.0057734346907187,0,0,0,-0.00102896467597535
2006-03-28,0,0.00565253385251178,0,0,0,-0.00645899487712409
2006-03-29,0,0.00573080167469788,0,0,0,0.0074419091432425
2006-03-30,0,0.00586666065570652,0,0,0,-0.00202832034012612
2006-03-31,0,0.00575654368207014,0,0,0,-0.00414624965895172
2006-04-03,0,0.00571291589324428,0,0,0,0.00226792451066338
2006-04-04,0,0.00561397262849458,0,0,0,0.00623720212013179
2006-04-05,0,0.00568164964381927,0,0,0,0.00430183777764626
2006-04-06,0,0.00564814237020052,0,0,0,-0.00192322428203173
2006-04-07,0,0.00554488749901731,0,0,0,-0.0103973231184753
2006-04-10,0,0.0059401734845403,0,0,0,0.000864157577348479
2006-04-11,0,0.00581151154879839,0,0,0,-0.00778111614478938
2006-04-12,0,0.00596434328345329,0,0,0,0.00120402859159796
2006-04-13,0,0.00583802443158661,0,0,0,0.00077602400256449
2006-04-17,0,0.00571251457409254,0,0,0,-0.00294432033091852
2006-04-18,0,0.00562327342378954,0,0,0,0.0169331480455615
2006-04-19,0,0.00676081733521609,0,0,0,0.00202505790945828
2006-04-20,0,0.0066157431524868,0,0,0,0.00116731976068873
2006-04-21,0,0.00646475736044938,0,0,0,-0.000137261032571168
2006-04-24,0,0.00631353905382582,0,0,0,-0.00242041204066012
2006-04-25,0,0.00619315461696317,0,0,0,-0.00488151629352629
2006-04-26,0,0.00615663726233553,0,0,0,0.00281533661206446
2006-04-27,0,0.00605175415305346,0,0,0,0.00329620623245219
2006-04-28,0,0.00596455757270314,0,0,0,0.000679303777939566
2006-05-01,0,0.00583346878585076,0,0,0,-0.00414405364060766
2006-05-02,0,0.00578550209862801,0,0,0,0.00612589755596993
2006-05-03,0,0.00583458191077876,0,0,0,-0.00388352965646988
2006-05-04,0,0.005776827166001,0,0,0,0.00315222920414193
2006-05-05,0,0.00569765704678583,0,0,0,0.0102426587566278
2006-05-08,0,0.00605955869411136,0,0,0,-0.000830057170680298
2006-05-09,0,0.0059259945532136,0,0,0,0.000362291497659761
2006-05-10,0,0.00579480343146199,0,0,0,-0.00172961421371642
2006-05-11,0,0.00568203317908208,0,0,0,-0.012880726784859
2006-05-12,0,0.00631135451447872,0,0,0,-0.0113047762472691
2006-05-15,0,0.0067000449721929,0,0,0,0.00252152322142063
2006-05-16,0,0.00656651252251409,0,0,0,-0.00187119726133478
2006-05-17,0,0.00642627243326929,0,0,0,-0.016984485712416
2006-05-18,0,0.0074104575459401,0,0,0,-0.00672163912629475
2006-05-19,0,0.00739248412596819,0,0,0,0.00412838092875223
