Date,Open,High,Low,Close,Volume,Adj Close
39818,1.42,1.42,1.38,1.42,539671300,1.38
39819,1.46,1.47,1.41,1.46,772111900,1.42
39820,1.45,1.47,1.45,1.45,463574100,1.41
39821,1.41,1.43,1.4,1.41,493556900,1.37
39822,1.43,1.43,1.4,1.43,384687700,1.39
39825,1.42,1.44,1.41,1.42,302448500,1.38
39826,1.4,1.41,1.39,1.4,274906800,1.36
39827,1.46,1.46,1.4,1.46,491851900,1.42
39828,1.45,1.47,1.43,1.45,506310400,1.41
39829,1.49,1.52,1.49,1.49,830986500,1.45
39832,1.51,1.54,1.49,1.51,870670900,1.46
39833,1.52,1.52,1.49,1.52,462633600,1.47
39834,1.51,1.54,1.49,1.51,642503800,1.47
39835,1.53,1.53,1.5,1.53,526679300,1.48
39836,1.52,1.53,1.5,1.52,378663800,1.47
39846,1.52,1.53,1.51,1.52,293690000,1.48
39847,1.56,1.56,1.52,1.56,568321100,1.51
39848,1.61,1.61,1.57,1.61,647566600,1.56
39849,1.6,1.65,1.59,1.6,859039100,1.55
39850,1.67,1.67,1.61,1.67,878020200,1.62
39853,1.69,1.71,1.67,1.69,824927800,1.64
39854,1.7,1.7,1.66,1.7,707924300,1.65
39855,1.7,1.73,1.66,1.7,989584900,1.65
39856,1.67,1.71,1.64,1.67,882043800,1.63
39857,1.74,1.74,1.67,1.74,1053759600,1.69
39860,1.79,1.79,1.75,1.79,943802800,1.74
39861,1.75,1.8,1.74,1.75,1078475100,1.7
39862,1.67,1.72,1.66,1.67,1261167500,1.62
39863,1.66,1.69,1.64,1.66,912428500,1.61
39864,1.68,1.68,1.64,1.68,652203300,1.63
39867,1.72,1.73,1.64,1.72,920908700,1.67
39868,1.63,1.71,1.62,1.63,966928200,1.58
39869,1.64,1.66,1.59,1.64,1013511800,1.6
39870,1.59,1.68,1.58,1.59,1188162800,1.55
39871,1.57,1.6,1.56,1.57,802798300,1.53
39874,1.58,1.58,1.54,1.58,668493500,1.53
39875,1.55,1.57,1.53,1.55,607530500,1.51
39876,1.67,1.67,1.56,1.67,1142081000,1.62
39877,1.69,1.71,1.65,1.69,1322697400,1.64
39878,1.68,1.7,1.65,1.68,870646800,1.63
39881,1.62,1.71,1.62,1.62,900215500,1.57
39882,1.64,1.64,1.59,1.64,690930300,1.59
39883,1.63,1.69,1.62,1.63,657247400,1.58
39884,1.62,1.63,1.59,1.62,686650500,1.58
39885,1.62,1.65,1.62,1.62,643006600,1.57
39888,1.66,1.66,1.6,1.66,722135600,1.61
39889,1.71,1.71,1.65,1.71,1065955000,1.66
39890,1.7,1.73,1.7,1.7,909859600,1.66
39891,1.73,1.74,1.7,1.73,658154600,1.68
39892,1.73,1.74,1.7,1.73,672179000,1.68
39895,1.77,1.77,1.72,1.77,607807100,1.72
39896,1.77,1.81,1.77,1.77,828143800,1.72
39897,1.75,1.79,1.74,1.75,734876600,1.7
39898,1.82,1.82,1.74,1.82,844610600,1.77
39899,1.82,1.84,1.81,1.82,871205100,1.77
39902,1.82,1.84,1.81,1.82,609081800,1.76
39903,1.83,1.84,1.77,1.83,917930500,1.78
39904,1.85,1.86,1.83,1.85,875841700,1.8
39905,1.88,1.9,1.85,1.88,796703900,1.82
39906,1.89,1.92,1.88,1.89,857109700,1.84
39910,1.89,1.91,1.87,1.89,530838300,1.84
39911,1.82,1.89,1.82,1.82,861406100,1.76
39912,1.84,1.85,1.8,1.84,817443800,1.79
